Entry ID,Lemma ID,Code (survey),Batch (survey),List (survey),Item (survey),English Word Frequency,Frequency,Frequency SD,Frequency Z,Frequency N,Sign Unknown,Frequency (Native),Frequency SD (Native),Frequency Z (Native),Frequency N (Native),Sign Unknown (Native) (proportion),Frequency (Nonnative),Frequency SD (Nonnative),Frequency N (Nonnative),Frequency Z (Nonnative),Sign Unknown (Nonnative) (proportion),Dominant Translation,Dominant Translation Agreement (proportion),Dominant Translation Agreement (Native) (proportion),Dominant Translation Agreement (Nonnative) (proportion),Nondominant Translations,Non-Signer Iconicity,Non-Signer Iconicity SD,Non-Signer Iconicity Z,Non-Signer Iconicity N,Non-Signer Iconicity ID,Deaf Signer Iconicity,Deaf Signer Iconicity SD,Deaf Signer Iconicity N,Deaf Signer Iconicity Z,Deaf Signer Iconicity (Native),Deaf Signer Iconicity SD (Native),Deaf Signer Iconicity Z (Native),Deaf Signer Iconicity N (Native),Consistency of Guesses,Accuracy of Guesses (proportion),Transparency,Transparency SD,Transparency Z,Lexical Class,Initialized Sign,Fingerspelled Loan Sign,Compound,Number Of Morphemes,Sign Onset,Sign Offset,Sign Duration,Video Duration,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,Handshape Morpheme 2,Selected Fingers Morpheme 2,Flexion Morpheme 2,Flexion Change Morpheme 2,Spread Morpheme 2,Spread Change Morpheme 2,Thumb Position Morpheme 2,Thumb Contact Morpheme 2,Sign Type Morpheme 2,Movement Morpheme 2,Repeated Movement Morpheme 2,Major Location Morpheme 2,Minor Location Morpheme 2,Second Minor Location Morpheme 2,Contact Morpheme 2,Nondominant Handshape Morpheme 2,Wrist Twist Morpheme 2,Handshape Morpheme 3,Selected Fingers Morpheme 3,Flexion Morpheme 3,Flexion Change Morpheme 3,Spread Morpheme 3,Spread Change Morpheme 3,Thumb Position Morpheme 3,Thumb Contact Morpheme 3,Signtype Morpheme 3,Movement Morpheme 3,Repeated Movement Morpheme 3,Major Location Morpheme 3,Minor Location Morpheme 3,Second Minor Location Morpheme 3,Contact Morpheme 3,Nondominant Handshape Morpheme 3,Wrist Twist Morpheme 3,Handshape Morpheme 4,Selected Fingers Morpheme 4,Flexion Morpheme 4,Flexion Change Morpheme 4,Spread Morpheme 4,Spread Change Morpheme 4,Thumb Position Morpheme 4,Thumb Contact Morpheme 4,Sign Type Morpheme 4,Movement Morpheme 4,Repeated Movement Morpheme 4,Major Location Morpheme 4,Minor Location Morpheme 4,Second Minor Location Morpheme 4,Contact Morpheme 4,Nondominant Handshape Morpheme 4,Wrist Twist Morpheme 4,Handshape Morpheme 5,Selected Fingers Morpheme 5,Flexion Morpheme 5,Flexion Change Morpheme 5,Spread Morpheme 5,Spread Change Morpheme 5,Thumb Position Morpheme 5,Thumb Contact Morpheme 5,Sign Type Morpheme 5,Movement Morpheme 5,Repeated Movement Morpheme 5,Major Location Morpheme 5,Minor Location Morpheme 5,Second Minor Location Morpheme 5,Contact Morpheme 5,Nondominant Handshape Morpheme 5,Wrist Twist Morpheme 5,Handshape Morpheme 6,Selected Fingers Morpheme 6,Flexion Morpheme 6,Flexion Change Morpheme 6,Spread Morpheme 6,Spread Change Morpheme 6,Thumb Position Morpheme 6,Thumb Contact Morpheme 6,Sign Type Morpheme 6,Movement Morpheme 6,Repeated Movement Morpheme 6,Major Location Morpheme 6,Minor Location Morpheme 6,Second Minor Location Morpheme 6,Contact Morpheme 6,Nondominant Handshape Morpheme 6,Wrist Twist Morpheme 6,Sign Type Frequency,Major Location Frequency,Minor Location Frequency,Second Minor Location Frequency,Movement Frequency,Selected Fingers Frequency,Flexion Frequency,Flexion Change Frequency,Repeated Movement Frequency,Contact Frequency,Spread Frequency,Spread Change Frequency,Thumb Contact Frequency,Thumb Position Frequency,Ulnar Rotation Frequency,Neighborhood Density,Parameter Neighborhood Density,Phonotactic Probability,Phonological Complexity,SignBank Semantic Field,SignBank Reference ID,In CDI,CDI Semantic Category,Age Of Acquisition,Age Of Acquisition (Empirical),Handshape Image
before,before,G_02_053,G,2,53,4.607,4.667,1.941,0.269,27,0.0,4.667,1.923,0.278,12,0.0,4.667,2.024,15,0.262,0.0,,,,,,4.152,1.603,0.358,33.0,,,,,,,,,,,,,,,Minor,0,0,0,1,534,1301,767,2002,flat_b,imrp,Flat,0.0,0.0,0.0,Open,0.0,Asymmetrical Same Handshape,Curved,0,Hand,Finger Front,Hand Away,1,flat_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.25,0.015,0.155,0.233,0.449,0.162,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,1,203,0.194,2.0,None,37.0,Yes,Signs About Time,47.0,35.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />"
better,better,F_01_062,F,1,62,4.607,6.37,0.742,1.135,27,0.0,6.5,0.76,1.176,14,0.0,6.231,0.725,13,1.091,0.0,,,,,,1.909,1.608,-0.829,33.0,,,,,,,,,,,,,,,Adjective,0,0,0,1,467,1201,734,1802,open_b,imrp,Fully Open,1.0,0.0,0.0,Open,0.0,One Handed,Curved,0,Head,Chin,Head Away,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.037,0.178,0.233,0.449,0.409,0.209,0.554,0.622,0.602,0.878,0.684,0.657,0.836,2,202,0.4,2.0,None,409.0,Yes,Descriptive Signs,31.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
bird,bird,A_01_041,A,1,41,3.365,5.161,1.416,0.602,31,0.0,5.278,1.406,0.677,18,0.0,5.0,1.472,13,0.497,0.0,bird,0.903,0.833,1.0,chicken,4.553,1.841,0.658,38.0,,5.19,1.56,31.0,0.95,5.11,1.6,0.94,19.0,,,,,,Noun,0,0,0,1,400,767,367,1168,g,i,Flat,1.0,,,Open,1.0,One Handed,None,1,Head,Mouth,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.046,0.0,0.153,0.261,0.162,0.209,0.446,0.622,0.0,0.0,0.316,0.657,0.836,1,241,-0.425,1.0,Animal,361.0,Yes,Animals,23.0,14.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />"
black,black,B_02_006,B,2,6,3.933,5.92,1.077,0.788,25,0.0,5.929,1.072,0.742,14,0.0,5.909,1.136,11,0.847,0.0,,,,,,1.2,0.551,-0.741,30.0,,1.19,0.65,31.0,-0.91,1.23,0.75,-0.86,22.0,2.25,0.0,3.05,1.67,-0.34,Adjective,0,0,0,1,667,934,267,1768,1,i,Fully Open,0.0,,,Closed,0.0,One Handed,Straight,0,Head,Forehead,Head Away,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.039,0.178,0.457,0.261,0.409,0.791,0.554,0.378,0.0,0.0,0.684,0.343,0.164,0,469,-0.192,1.0,Color,415.0,Yes,Descriptive Signs,29.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
blow,blow,E_02_096,E,2,96,3.697,2.781,1.431,-0.82,32,0.0,2.867,1.407,-0.756,15,0.0,2.706,1.49,17,-0.877,0.0,,,,,,5.065,1.569,0.537,31.0,,,,,,,,,,,,,,,Verb,0,0,0,1,501,1368,868,1869,o,imrp,Curved,1.0,0.0,1.0,Open,1.0,Symmetrical Or Alternating,Curved,0,Head,Mouth,Head Away,1,o,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.046,0.178,0.233,0.449,0.225,0.209,0.554,0.622,0.602,0.122,0.316,0.657,0.836,3,153,0.058,2.0,Event,43.0,Yes,Action Signs,41.0,19.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />"
blue,blue,C_02_062,C,2,62,3.718,4.63,1.548,0.193,27,0.033,5.2,1.373,0.438,15,0.056,3.917,1.505,12,-0.113,0.0,,,,,,1.074,0.385,-0.814,27.0,,1.35,0.86,30.0,-0.83,1.35,0.93,-0.88,21.0,2.51,0.0,2.9,2.05,-0.53,Adjective,1,0,0,1,434,801,367,1535,closed_b,imrp,Fully Open,0.0,0.0,0.0,Closed,0.0,One Handed,None,1,Neutral,Neutral,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.363,0.363,0.0,0.153,0.449,0.409,0.791,0.446,0.378,0.602,0.878,0.684,0.343,0.164,1,146,0.057,1.0,Color,417.0,Yes,Descriptive Signs,28.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />"
boat,boat,D_01_055,D,1,55,3.689,3.704,1.409,-0.248,27,0.0,3.875,1.258,-0.182,16,0.0,3.455,1.635,11,-0.344,0.0,,,,,,2.314,1.301,-0.309,35.0,,5.39,1.47,26.0,1.18,5.06,1.51,1.06,18.0,,,,,,Noun,0,0,0,1,567,1869,1301,2603,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,,1,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.363,0.363,0.0,0.233,0.449,0.409,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,17,344,0.52,2.0,None,44.0,Yes,Vehicles,25.0,15.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
book,book,A_01_027,A,1,27,3.956,6.677,0.832,1.408,31,0.0,6.833,0.383,1.499,18,0.0,6.462,1.198,13,1.28,0.0,,,,,,6.684,0.775,1.732,38.0,,5.63,1.67,31.0,1.22,5.33,1.94,1.13,19.0,,,,,,Noun,0,0,0,1,400,901,501,1268,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,1,open_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.363,0.363,0.426,0.233,0.449,0.409,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.164,7,344,0.498,2.0,None,418.0,Yes,Toys,21.0,15.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
boy,boy,B_02_090,B,2,90,4.432,6.16,1.143,0.949,25,0.0,6.0,1.109,0.798,14,0.0,6.364,1.206,11,1.141,0.0,,,,,,1.333,0.844,-0.684,30.0,,2.0,1.07,31.0,-0.48,1.86,0.99,-0.53,22.0,2.38,0.0,3.4,1.39,-0.05,Noun,0,0,0,1,434,868,434,1435,flat_o,imrp,Flat,1.0,0.0,0.0,Open,1.0,One Handed,None,1,Head,Forehead,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.039,0.0,0.153,0.449,0.162,0.209,0.446,0.378,0.602,0.878,0.316,0.657,0.836,1,232,-0.2,1.0,People,377.0,Yes,People,32.0,23.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />"
brother,brother,B_01_065,B,1,65,4.161,5.48,1.418,0.533,25,0.0,5.357,1.646,0.43,14,0.0,5.636,1.12,11,0.664,0.0,,,,,,1.074,0.385,-0.877,27.0,,1.55,0.85,31.0,-0.71,1.41,0.73,-0.75,22.0,2.65,0.0,2.4,1.27,-0.62,Noun,0,0,1,2,434,1001,567,1635,a,t,,,,,Open,,One Handed,None,0,Head,Forehead,,1,,0,l,i,FullyOpen,0.0,,,Open,0.0,Asymmetrical Same Handshape,Straight,,Hand,Finger Radial,,1.0,l,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.039,0.0,0.153,0.057,0.0,0.0,0.554,0.622,0.0,0.0,0.0,0.657,0.836,12,258,-0.606,2.0,None,3013.0,Yes,People,40.0,19.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
brown,brown,D_03_045,D,3,45,3.487,4.923,1.412,0.425,26,0.0,5.125,1.31,0.483,16,0.0,4.6,1.578,10,0.333,0.0,,,,,,1.24,0.663,-0.849,25.0,,1.04,0.2,26.0,-1.07,1.0,0.0,-1.06,18.0,,,,,,Adjective,1,0,0,1,501,1268,767,2002,closed_b,imrp,Fully Open,0.0,0.0,0.0,Closed,0.0,One Handed,Straight,0,Head,Chin,Chin,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.037,0.012,0.457,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.836,8,341,0.428,1.0,Color,53.0,Yes,Descriptive Signs,28.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />"
bug,bug,B_01_067,B,1,67,3.029,4.36,1.411,-0.149,25,0.0,4.214,1.369,-0.241,14,0.0,4.545,1.508,11,-0.031,0.0,bug,0.92,1.0,0.818,insect,2.963,1.85,0.055,27.0,,1.94,1.15,31.0,-0.5,1.77,1.11,-0.55,22.0,2.55,0.0,3.84,1.43,-0.12,Noun,0,0,0,1,934,1335,400,2302,3,im,Fully Open,1.0,1.0,0.0,Open,0.0,One Handed,None,1,Head,Cheek Nose,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.0,0.153,0.14,0.409,0.209,0.446,0.622,0.398,0.878,0.684,0.657,0.836,1,227,-0.018,2.0,Animal,422.0,Yes,Animals,28.0,19.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/3.png"" />"
bye,bye,E_01_058,E,1,58,3.963,6.057,1.589,0.97,35,0.0,6.4,1.183,1.161,15,0.0,5.8,1.824,20,0.827,0.0,,,,,,6.96,0.2,1.564,25.0,,,,,,,,,,,,,,,Noun,0,0,0,1,467,1268,801,1802,5,imrp,Fully Open,1.0,1.0,0.0,Open,0.0,One Handed,None,1,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.363,0.363,0.0,0.153,0.449,0.409,0.209,0.446,0.378,0.398,0.878,0.684,0.657,0.836,4,190,0.19,1.0,None,425.0,Yes,Games and Routines,22.0,15.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />"
can,can,D_03_027,D,3,27,5.428,6.0,1.166,1.067,26,0.0,6.25,1.0,1.132,16,0.0,5.6,1.35,10,0.963,0.0,,,,,,1.68,1.18,-0.622,25.0,,1.81,1.13,26.0,-0.65,1.78,1.22,-0.62,18.0,,,,,,Verb,0,0,0,1,567,1435,868,2469,s,imrp,Fully Closed,0.0,,0.0,Closed,1.0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.363,0.363,0.426,0.457,0.449,0.067,0.791,0.554,0.378,0.0,0.878,0.316,0.343,0.836,14,524,0.205,1.0,None,426.0,Yes,Action Signs,35.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />"
can_2,can_2,K_02_027,K,2,27,5.428,3.053,2.013,-0.565,25,0.24,2.714,1.799,-0.402,11,0.364,3.25,2.179,14,-0.66,0.143,,,,,,2.167,1.341,-0.639,24.0,TIN CAN,,,,,,,,,,,,,,Noun,0,0,0,1,601,1702,1101,2302,spread_open_e,imrp,Bent,0.0,1.0,0.0,Open,0.0,Asymmetrical Different Handshape,Curved,1,Hand,Finger Radial,Hand Away,1,S,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.25,0.035,0.155,0.233,0.449,0.099,0.791,0.446,0.622,0.398,0.878,0.684,0.657,0.164,0,168,-0.122,3.0,,,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/spread_open_e.png"" />"
car,car,D_02_043,D,2,43,4.392,6.556,0.892,1.361,27,0.0,6.588,0.795,1.322,17,0.0,6.5,1.08,10,1.427,0.0,,,,,,6.2,1.095,1.495,30.0,,6.35,0.98,26.0,1.67,6.33,0.97,1.7,18.0,,,,,,Noun,0,0,0,1,534,1602,1068,2569,s,imrp,Fully Closed,0.0,,0.0,Closed,1.0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,0,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.363,0.363,0.426,0.233,0.449,0.067,0.791,0.446,0.378,0.0,0.878,0.316,0.343,0.836,14,321,-0.022,2.0,None,428.0,Yes,Vehicles,24.0,14.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />"
carrot,carrot,A_02_083,A,2,83,2.292,3.296,1.489,-0.291,27,0.0,3.231,1.691,-0.292,13,0.0,3.357,1.336,14,-0.291,0.0,,,,,,3.533,1.795,0.205,30.0,,2.9,1.47,31.0,-0.2,2.63,1.5,-0.28,19.0,,,,,,Noun,0,0,0,1,367,1268,901,1502,s,imrp,Fully Closed,0.0,,0.0,Closed,1.0,One Handed,None,1,Head,Mouth,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.046,0.0,0.153,0.449,0.067,0.791,0.446,0.378,0.0,0.878,0.316,0.343,0.164,0,246,-0.573,1.0,Food,2470.0,Yes,Food and Drink,34.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />"
carrot_2,carrot_2,K_01_105,K,1,105,2.292,4.042,2.095,-0.02,27,0.111,3.091,1.758,-0.2,11,0.0,4.846,2.075,16,0.132,0.188,,,,,,2.44,1.387,-0.499,25.0,CARROT,,,,,,,,,,,,,,Noun,0,0,0,1,601,1635,1034,2236,s,imrp,Fully Closed,0.0,,0.0,Closed,1.0,One Handed,Straight,0,Head,Head Away,Mouth,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.066,0.004,0.457,0.449,0.067,0.791,0.554,0.622,0.0,0.878,0.316,0.343,0.836,3,388,0.015,1.0,Food,1025.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />"
carrot_3,carrot_3,K_03_075,K,3,75,2.292,2.2,1.609,-1.107,25,0.2,1.889,1.364,-0.981,11,0.182,2.455,1.809,14,-1.211,0.214,,,,,,2.346,1.742,-0.705,26.0,CARROT,,,,,,,,,,,,,,Noun,0,0,0,1,767,1735,968,2269,o,imrp,Curved,1.0,0.0,0.0,Open,1.0,One Handed,Straight,0,Head,Mouth,Head Away,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.046,0.178,0.457,0.449,0.225,0.209,0.554,0.622,0.602,0.878,0.316,0.657,0.836,4,354,0.296,1.0,,,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />"
cat,cat,A_01_023,A,1,23,3.529,5.097,1.868,0.597,31,0.0,4.944,1.662,0.54,18,0.0,5.308,2.175,13,0.676,0.0,,,,,,4.618,1.875,0.678,34.0,,3.42,1.63,31.0,0.05,3.05,1.43,-0.08,19.0,,,,,,Noun,0,0,0,1,400,868,467,1168,f,i,Curved,0.0,,,Open,1.0,One Handed,Straight,1,Head,Cheek Nose,Head Away,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.178,0.457,0.261,0.225,0.791,0.446,0.622,0.0,0.0,0.316,0.657,0.836,9,364,-0.071,1.0,Animal,1037.0,Yes,Animals,24.0,14.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />"
cat_2,cat_2,K_02_047,K,2,47,3.529,5.333,1.993,0.637,25,0.04,4.364,1.963,0.341,11,0.0,6.154,1.676,14,0.888,0.071,,,,,,3.875,1.777,0.151,24.0,CAT,,,,,,,,,,,,,,Noun,0,0,0,1,834,1869,1034,2469,g,i,Flat,1.0,,,Open,1.0,Symmetrical Or Alternating,Straight,1,Head,Cheek Nose,Head Away,1,g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.035,0.178,0.457,0.261,0.162,0.209,0.446,0.622,0.0,0.0,0.316,0.657,0.836,6,336,-0.265,1.0,Animal,1040.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />"
cat_3,cat_3,K_03_087,K,3,87,3.529,5.12,1.986,0.574,25,0.0,4.727,1.954,0.475,11,0.0,5.429,2.027,14,0.651,0.0,,,,,,3.88,1.59,-0.003,25.0,CAT,,,,,,,,,,,,,,Noun,0,0,0,1,701,1768,1068,2436,8,m,Flat,1.0,,,Open,1.0,Symmetrical Or Alternating,Straight,1,Head,Cheek Nose,Head Away,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.035,0.178,0.457,0.045,0.162,0.209,0.446,0.622,0.0,0.0,0.316,0.657,0.836,0,322,-0.358,2.0,Animal,347.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/8.png"" />"
cereal,cereal,A_02_014,A,2,14,2.512,4.741,1.655,0.472,27,0.0,4.692,1.843,0.444,13,0.0,4.786,1.528,14,0.498,0.0,,,,,,1.467,1.196,-0.725,30.0,,1.1,0.31,31.0,-1.13,1.11,0.32,-1.08,19.0,,,,,,Noun,0,0,0,1,267,1101,834,1168,bent_1,i,Bent,0.0,,,Closed,0.0,One Handed,Straight,1,Head,Chin,Chin,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.037,0.012,0.457,0.261,0.099,0.791,0.446,0.622,0.0,0.0,0.684,0.343,0.836,10,342,-0.215,1.0,Food,595.0,Yes,Food and Drink,28.0,22.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />"
chair,chair,A_01_017,A,1,17,3.4,5.714,1.231,0.858,21,0.0,5.667,1.303,0.921,12,0.0,6.05,1.234,20,0.798,0.0,,,,,,1.979,1.349,-0.502,140.0,,3.45,1.48,31.0,0.06,3.21,1.62,-0.03,19.0,,,,,,Noun,0,0,0,1,200,834,634,1001,h,im,Fully Open,0.0,0.0,0.0,Closed,0.0,Dominance Violation,Straight,1,Hand,Finger Back,,1,Dominance Condition Violation,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.25,0.019,0.0,0.457,0.14,0.409,0.791,0.446,0.622,0.602,0.878,0.684,0.343,0.836,6,368,-0.084,2.0,None,378.0,Yes,Furniture and Rooms,26.0,23.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/h.png"" />"
cheek,cheek,G_03_052,G,3,52,2.563,3.692,1.934,-0.278,27,0.037,3.909,1.973,-0.101,12,0.083,3.533,1.959,15,-0.408,0.0,,,,,,6.1,0.968,1.372,20.0,,,,,,,,,,,,,,,Noun,0,0,0,1,567,1301,734,1869,baby_o,i,Bent,0.0,,,Open,1.0,One Handed,Straight,1,Head,Cheek Nose,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.0,0.457,0.261,0.099,0.791,0.446,0.622,0.0,0.0,0.316,0.657,0.836,9,353,-0.195,1.0,,,Yes,Body Parts,50.0,35.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/baby_o.png"" />"
child,child,F_03_101,F,3,101,3.905,4.815,1.469,0.287,27,0.0,5.214,1.369,0.456,14,0.0,4.385,1.502,13,0.106,0.0,,,,,,3.938,1.34,0.158,16.0,,,,,,,,,,,,,,,Noun,0,0,0,1,467,1568,1101,2102,flat_b,imrp,Flat,0.0,0.0,0.0,Open,0.0,One Handed,Straight,1,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.363,0.363,0.426,0.457,0.449,0.162,0.791,0.446,0.378,0.602,0.878,0.684,0.657,0.836,7,486,0.548,1.0,None,75.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />"
chin_2,chin_2,F_02_070,F,2,70,2.812,5.08,2.04,0.406,27,0.074,4.923,2.178,0.282,14,0.071,5.25,1.96,13,0.54,0.077,,,,,,6.806,0.477,1.542,31.0,,,,,,,,,,,,,,,Noun,0,0,0,1,534,1335,801,1902,flat_1,i,Flat,0.0,,,Closed,0.0,One Handed,None,0,Head,Chin,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.037,0.0,0.153,0.261,0.162,0.791,0.554,0.622,0.0,0.0,0.684,0.343,0.836,2,227,-0.183,1.0,,,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_1.png"" />"
